----	----
ncu-	ncu-
ncuro-clrurgla	ncuro-clrurgla
ne-Io	ne-io
neero	neero
nefico	nefico
neiro	neiro
neita	neita
néjii	nejii
nemhum	nemhum
nezro	nezro
nfco	nfco
nfenor	nfenor
nfio	nfio
nfto	nfto
ngoslo	ngoslo
nheiro	nheiro
niisiã-)	niisia-
niliano	niliano
nittóa	nittoa
nlguma	nlguma
nlor	nlor
n«n-tlngencio	nn-tlngencio
nnlco	nnlco
nnlos”	nnlos
nnual	nnual
no-vos	no-vos
noém	noem
noiavol	noiavol
nois	nois
nono	nono
normai»	normai
normativo	normativo
noszu	noszu
notável	notavel
novamente	novamente
nov^b^	novb
novW	novw
npenos	npenos
npi«cntou	npicntou
npplicar	npplicar
nprcsenotu	nprcsenotu
nprrndiMK^m	nprrndimkm
nrat»	nrat
nrcira	nrcira
nreci	nreci
nrics	nrics
*nrLv>	nrlv
“nrnm-nas	nrnm-nas
«nroító	nroito
n^sta	nsta
nsuita	nsuita
ntaior	ntaior
nTirme	ntirme
••ntl^cn^	ntlcn
ntltu-d*s	ntltu-ds
ntoi	ntoi
nuar	nuar
nuense	nuense
nuirr»	nuirr
nutncnlo	nutncnlo
nuutru	nuutru
nvnorarme	nvnorarme
nw’rrr	nwrrr
nxecuçío	nxecucio
o-per^çõ^s	o-percos
oAMiNAH	oaminah
oara	oara
«obejus	obejus
oblíquos	obliquos
obngado	obngado
|>obrc	obrc
obter	obter
|obti	obti
obtido	obtido
occa-sião	occa-siao
ocesso	ocesso
oconomU	oconomu
*odal	odal
oDialmláaée	odialmlaaee
odonto-j	odonto-j
oDtcndimsntos	odtcndimsntos
oêln	oeln
oErBXDS»	oerbxds
of-rteio	of-rteio
oferta-do	oferta-do
offereceu-me	offereceu-me
oficial-monte	oficial-monte
ofiLtear	ofiltear
ofTerece]	ofterece
)ogar	ogar
óglcos	oglcos
oguordem	oguordem
o/idc	oidc
oidvnta	oidvnta
oíficina	oificina
oificio	oificio
*oii-xaxw	oii-xaxw
okes	okes
olhnf	olhnf
olunoè	olunoe
omcn-te	omcn-te
‘omprado	omprado
ònícamente	onicamente
<oníro	oniro
onje	onje
onte	onte
onuais	onuais
onüu	onuu
ooeracknoLv	ooeracknolv
ooiníãn	ooinian
oois	oois
oor/*ue	oorue
oossam	oossam
op-pnrelho	op-pnrelho
operacionais	operacionais
operacionnta	operacionnta
opin	opin
opor-se	opor-se
opulentissima	opulentissima
orga-♦I	orga-i
orga-(tiraçáo	orga-tiracao
orgo-dc	orgo-dc
oridade	oridade
orleoUcão	orleoucao
ormcs	ormcs
orovideooas	orovideooas
os-de	os-de
osta	osta
osxurIo	osxurio
o\tarinheiro	otarinheiro
ótimo	otimo
ou-l^tudontct	ou-ltudontct
óungu	oungu
ourcra	ourcra
ousados	ousados
oussidtando	oussidtando
outre	outre
ouvida»	ouvida
ouvío	ouvio
’ovra	ovra
p)-der	p-der
p-rmittião	p-rmittiao
p<-sor	p-sor
pa-dendo	pa-dendo
p|a-i	pa-i
pagá-vin	paga-vin
pagarão	pagarao
paguui)	paguui
paia	paia
paixães	paixaes
palayra	palayra
panda»	panda
par-	par-
para-guaycnsis-	para-guaycnsis-
parabn-sxs	parabn-sxs
parabrt	parabrt
paraibano	paraibano
paraquxiieias	paraquxiieias
parece-ru	parece-ru
pari	pari
parq	parq
parti^ario	partiario
partna)	partna
paru	paru
pasmando	pasmando
passível	passivel
patundu	patundu
pauinuo	pauinuo
paujlsta	paujlsta
paulistana	paulistana
paulUtas	paulutas
paxaí	paxai
pccllho	pccllho
“pcg>J“	pcgj
pcifl	pcifl
pcln	pcln
pcocurar	pcocurar
pcratdu»	pcratdu
pcrlcdo	pcrlcdo
pcrsunjJo	pcrsunjjo
peçuoria	pecuoria
pederaso	pederaso
pederosas	pederosas
pefo	pefo
peiquln	peiquln
penhum	penhum
penosos	penosos
per-	per-
perdendo	perdendo
perdi-QUARTA	perdi-quarta
perfeita	perfeita
perfeitamente	perfeitamente
perma-nentea	perma-nentea
permancnW	permancnw
permanoncla	permanoncla
•peroao	peroao
perodos	perodos
pertencente	pertencente
pertencentes	pertencentes
pes-sôa	pes-soa
petooa	petooa
pezo	pezo
pharmaceuticu	pharmaceuticu
pi	pi
piá-frente	pia-frente
pio-i	pio-i
piquc-nlques	piquc-nlques
p&itiífos	pitiifos
pjxa	pjxa
plena	plena
pleno	pleno
pllôto	plloto
plMOPOS	plmopos
pMquIatrla	pmquiatrla
pn-melro	pn-melro
pnliti-co	pnliti-co
pnmeira	pnmeira
pnncipalmcntç	pnncipalmcntc
pnnclpalmcntc	pnnclpalmcntc
pnr-tic^r	pnr-ticr
pnra	pnra
pnvpriaj	pnvpriaj
po-a	po-a
po-úção	po-ucao
poalçáo	poalcao
po>alvt|	poalvt
poderá	podera
poderem	poderem
podería	poderia
poderíam	poderiam
poderosa	poderosa
poderoso	poderoso
podia	podia
pod*rA	podra
põem	poem
poitoa	poitoa
poiu	poiu
po]iUca	poiuca
polaco-	polaco-
politiea	politiea
políUçn	poliucn
polto	polto
ponha	ponha
popula-	popula-
por-Us	por-us
poraue	poraue
porln-vox	porln-vox
pormnnccerarn	pormnnccerarn
poroue	poroue
portado-res	portado-res
portaito	portaito
pos-o	pos-o
posso	posso
pouc	pouc
pouena	pouena
povu	povu
pparelho	pparelho
«ppruvAçflo	ppruvacflo
pqssivci	pqssivci
praclM)	praclm
pramorra	pramorra
prandes	prandes
prandr	prandr
praram	praram
prarrmrtdo	prarrmrtdo
pratica-mente	pratica-mente
p’rcc*	prcc
prcci-1	prcci-
pre-	pre-
pre-fabricado	pre-fabricado
preatlglou	preatlglou
preci-acabar	preci-acabar
precisa-mente	precisa-mente
precLumente	preclumente
predominante	predominante
premlo	premlo
prendei*a	prendeia
prender	prender
prenderem	prenderem
prepotentes	prepotentes
prescrtifand^	prescrtifand
presenteo	presenteo
prestadas	prestadas
prestdontci	prestdontci
previstos	previstos
p*rfumes	prfumes
pricipalmtute	pricipalmtute
prim	prim
primeiraiuenle	primeiraiuenle
principelmente	principelmente
prioritariamente	prioritariamente
prirtcipe	prirtcipe
privifcpta-	privifcpta-
prlmdra	prlmdra
prln-clpalmente	prln-clpalmente
prlnclpalmcn-<c	prlnclpalmcn-c
pro-	pro-
pro-onnharo	pro-onnharo
problcmà	problcma
problenut	problenut
proce	proce
proCodimen-tocriminal	procodimen-tocriminal
prodigiosa	prodigiosa
prodigioso	prodigioso
profética	profetica
profissonal	profissonal
proflMlooal»	proflmlooal
progcislva	progcislva
proícsroK-	proicsrok-
proitarf	proitarf
pro^Jerem	projerem
projetada	projetada
proma/Mos	promamos
prome	prome
promoioria	promoioria
prompta	prompta
propalada	propalada
proprlo	proprlo
proríncío	prorincio
prostrar-se	prostrar-se
protcxrio	protcxrio
provadas	provadas
>prov®dw	provdw
proví	provi
provincial	provincial
provincta	provincta
proxlmo»	proxlmo
proxlmo	proxlmo
prt-inclramcntc	prt-inclramcntc
prtços	prtcos
prtt-tlgio	prtt-tlgio
pruneiros	pruneiros
prxa	prxa
psiragens	psiragens
psra	psra
psrte	psrte
psrtes-do	psrtes-do
pstomacues	pstomacues
psubria	psubria
ptcuapta	ptcuapta
ptlc	ptlc
ptra	ptra
pu-<tr	pu-tr
pubheiçlo	pubheiclo
publicados	publicados
pura	pura
purga-tivá$>	purga-tiva
purga-tiyns	purga-tiyns
purgativas	purgativas
pxgo	pxgo
pxwe	pxwe
qieema-tal-ost	qieema-tal-ost
qntar	qntar
qonsta	qonsta
qrrr	qrrr
qtfe	qtfe
qualificada	qualificada
qualificados	qualificados
qualiilpaçio	qualiilpacio
qualqeur	qualqeur
quaM	quam
quand	quand
quande	quande
quarta-fei	quarta-fei
quasi	quasi
queglão	queglao
que/ifio	queifio
quererá	querera
querr	querr
quidro	quidro
quisêramos	quiseramos
qu^mndas	qumndas
quMrn	qumrn
qunntj	qunntj
quolkjode	quolkjode
qut-r	qut-r
quun-toyos	quun-toyos
quxdra	quxdra
r-ão	r-ao
r-do	r-do
r-Ja	r-ja
r-ueronea	r-ueronea
r^aBur	rabur
racanú	racanu
raciojiiiio	raciojiiiio
radicalrrente	radicalrrente
radiculmente	radiculmente
radlflliitn	radlflliitn
radto	radto
raesm	raesm
‘rakalh*>	rakalh
rapkfo	rapkfo
rarão	rarao
rasão	rasao
rasoavel	rasoavel
<*0>ratnl	ratnl
ratre	ratre
ra^un	raun
ravoln	ravoln
rbue	rbue
rcaenA	rcaena
rcajmtamcnto	rcajmtamcnto
rcallotr-se	rcallotr-se
rcallrado	rcallrado
rccebêra	rccebera
rcCebidi	rccebidi
rccompcruado	rccompcruado
rcconhccimcnto	rcconhccimcnto
rccor	rccor
rccursoz	rccursoz
rcdobrarA	rcdobrara
rciÀi	rciai
rcixvaçilo	rcixvacilo
rcjevnnta	rcjevnnta
rclatlvamentc	rclatlvamentc
rclntório	rclntorio
rclompaflo	rclompaflo
rcluctancia	rcluctancia
rcrá	rcra
rcspirniono	rcspirniono
re-mottido	re-mottido
re-ponsavel	re-ponsavel
rea)idade	reaidade
realçada	realcada
realébolecimeoto	realebolecimeoto
realíz*	realiz
realiza-	realiza-
reallundo	reallundo
realm	realm
realmen-te	realmen-te
realmente	realmente
realrnente	realrnente
reaolvi	reaolvi
reap*-	reap-
rebelde	rebelde
reciamudaa	reciamudaa
recomu	recomu
reconhecida	reconhecida
reconhecidos	reconhecidos
recorreir	recorreir
recu-ração	recu-racao
recunos	recunos
recuoeracão	recuoeracao
recusar-me	recusar-me
reder	reder
referida	referida
referidas	referidas
referiu-se	referiu-se
refindo	refindo
refn	refn
regl^nalUmo	reglnalumo
relatoru)	relatoru
relauvoa	relauvoa
relnlcbrào	relnlcbrao
relra	relra
rempre	rempre
remunerada	remunerada
repetidas	repetidas
requeridas	requeridas
rerdace	rerdace
rerteme	rerteme
res-	res-
res-nnnsabílldades	res-nnnsabilldades
residern	residern
resoeito	resoeito
resolve	resolve
resolví	resolvi
respanMblIldjdcs	respanmblildjdcs
respecjvos/x/íwj	respecjvosxiwj
respectivamente	respectivamente
respectivos	respectivos
respei-Ct	respei-ct
respiratório	respiratorio
responsabildades	responsabildades
restabelecida	restabelecida
resteas	resteas
restinho	restinho
resultndo	resultndo
rêtiecte	retiecte
retlfn	retlfn
rettstlr	rettstlr
reunidos	reunidos
revelados	revelados
rexullado»	rexullado
rexultado*	rexultado
rgnís-mos	rgnis-mos
riaco	riaco
riãilicção	riailiccao
riamenqo	riamenqo
rida	rida
riencta	riencta
rífk<n*>	rifkn
rígido	rigido
rigorimo	rigorimo
rigorora	rigorora
rigorosíssimo	rigorosissimo
riJDTCIARIO	rijdtciario
rílldãd	rilldad
$>rincipaJ	rincipaj
rindo	rindo
rioile	rioile
rítnlco	ritnlco
riuuw	riuuw
rivi	rivi
rkos	rkos
rl«n‘«‘e	rlne
»rlnTnr‘	rlntnr
rlom	rlom
rmcrgOnciM	rmcrgoncim
rmea	rmea
rnen-dicancia	rnen-dicancia
rnenulmeM*	rnenulmem
rnm^reío	rnmreio
rntfo	rntfo
rnudaram	rnudaram
ro-ms	ro-ms
róa-	roa-
roaliuda	roaliuda
robusto	robusto
rocu	rocu
rodoviária	rodoviaria
rorraU	rorrau
rospoid^á	rospoida
rotorno	rotorno
roturmiíom	roturmiiom
roUitlvldado	rouitlvldado
roUron	rouron
«rpilulas	rpilulas
rrce	rrce
rrecuo	rrecuo
rrfimuiençfio	rrfimuiencfio
rrin	rrin
rrio	rrio
rrmmo	rrmmo
r*rnovrto	rrnovrto
«rroçancM	rrocancm
rroUwr	rrouwr
rrttj	rrttj
rrwres	rrwres
rtKdrnu	rtkdrnu
rtqurza*	rtqurza
rtrmar	rtrmar
rttof	rttof
rtttrra	rtttrra
rubro	rubro
rude	rude
ruis	ruis
rumpam	rumpam
rurais	rurais
rural	rural
rvircira	rvircira
rvoblIitoçBo	rvobliitocbo
r^ypHlo	ryphlo
s-bullul	s-bullul
sabe	sabe
saber-sa	saber-sa
sado	sado
sai-bão	sai-bao
saiba	saiba
salâ-í	sala-i
sal\*açlo	salaclo
salu-bre	salu-bre
salvar	salvar
salvará	salvara
sámpaüas	sampauas
sanpre	sanpre
saspeitas	saspeitas
satis-fuctorio	satis-fuctorio
sc-enêia	sc-eneia
scena	scena
scienci»	scienci
scindiram-se	scindiram-se
scomo	scomo
scrios	scrios
scrt>	scrt
scrura-listas	scrura-listas
scui	scui
selbar	selbar
selor	selor
sendo-Iho	sendo-iho
sendo-lhe	sendo-lhe
senjo	senjo
sensacional	sensacional
septenato	septenato
serem	serem
serk	serk
serl	serl
serpre	serpre
sert	sert
seruX	serux
servisse	servisse
sexta-folro	sexta-folro
sfffpcil	sfffpcil
sido	sido
sígredo	sigredo
siitema	siitema
sinccro	sinccro
sinceras	sinceras
sinceros	sinceros
»s$ionano	sionano
siquer	siquer
sirtema	sirtema
sJugvu	sjugvu
slão	slao
slçóes-	slcoes-
sldcnte	sldcnte
slderlid*	slderlid
slstenütíra-	slstenutira-
^snita	snita
snombar	snombar
snorrazpu	snorrazpu
so-menu-	so-menu-
sobic	sobic
socinlogo	socinlogo
»sõcs	socs
sóffrç	soffrc
sôffrenJo	soffrenjo
sofrtr	sofrtr
soiTta	soitta
solibtudu	solibtudu
solicitados	solicitados
soluç	soluc
somos	somos
soorcludo	soorcludo
<spe-qiflca	spe-qiflca
srounda	srounda
standard	standard
•stomacaes	stomacaes
sttaü	sttau
sua’cogitação	suacogitacao
suavisasse-Ihe	suavisasse-ihe
subscrevo-	subscrevo-
subversivo	subversivo
*su«cidou-se	sucidou-se
sufrario	sufrario
suicidar-se	suicidar-se
sujo	sujo
sunlo	sunlo
superviso-do	superviso-do
suppoodo	suppoodo
suppra	suppra
svihUndá	svihunda
tabclecido	tabclecido
tadml	tadml
tadoal	tadoal
tam-i	tam-i
tamas	tamas
tamogag	tamogag
tando	tando
tario	tario
tçndo	tcndo
tcr-A	tcr-a
tcrra	tcrra
tcsiemunhu	tcsiemunhu
tcsulbdor-t	tcsulbdor-t
tdra	tdra
tê-lo	te-lo
teem	teem
teenteo	teenteo
teis	teis
tel-o	tel-o
telegr	telegr
tem-io	tem-io
temos	temos
tempe	tempe
ten-tavi	ten-tavi
tenha	tenha
tenham	tenham
tenho	tenho
teni	teni
teohaes	teohaes
teps-ratUnio	teps-ratunio
terá	tera
tera-ii	tera-ii
terào	terao
terço	terco
terços	tercos
tereis	tereis
terem	terem
teriam	teriam
termoa	termoa
terrô	terro
testemu-nta	testemu-nta
teve	teve
tevô	tevo
texio	texio
tfto	tfto
thãinon	thainon
ticular	ticular
tí*dot	tidot
tima	tima
timbem	timbem
tinham	tinham
tintos	tintos
tíotalugo	tiotalugo
titeratura	titeratura
tive	tive
tivera	tivera
tivesse	tivesse
tizar	tizar
tLtiiu	tltiiu
tlvuda	tlvuda
tm-bèbe	tm-bebe
tmaginaçáo	tmaginacao
«tnitura	tnitura
tnréttoà	tnrettoa
to-iim	to-iim
toch	toch
<tod-dirmos	tod-dirmos
tol-i	tol-i
»tolk	tolk
tomacaei	tomacaei
tomo-se	tomo-se
torç*	torc
tornnu-so	tornnu-so
|tORrc*	torrc
totaiH	totaih
total-m*nte	total-mnte
to*Tr	totr
tounfn	tounfn
tpcGe	tpcge
traas-loroar-se	traas-loroar-se
trabalha-cons	trabalha-cons
trabulhani	trabulhani
tragão	tragao
tramfertdo	tramfertdo
tramiferido	tramiferido
transfrrU	transfrru
transpor-1	transpor-
transportando-vòs	transportando-vos
transportar-se	transportar-se
trarnadn	trarnadn
trax*r	traxr
traz	traz
trazem	trazem
trê-	tre-
triclor	triclor
trimes-treVTís	trimes-trevtis
trisfe	trisfe
triumphos	triumphos
triun	triun
trlguom	trlguom
trorueu»-te	trorueu-te
trtiu	trtiu
trubaOio	trubaoio
trús	trus
t«rzr	trzr
tscr\wr\o	tscrwro
*t<tema	ttema
ttencourl	ttencourl
ttMOMntN	ttmomntn
ttvMoi	ttvmoi
tuprerno	tuprerno
tUpúbllra	tupubllra
tuqutin	tuqutin
twi|ur	twiur
u-soóie	u-sooie
<u-zzaodc	u-zzaodc
uahj	uahj
úcnuuc	ucnuuc
ucrson	ucrson
udlw	udlw
udumonio	udumonio
uegurançu	uegurancu
uftirmoú	uftirmou
uhtmn	uhtmn
uídMe	uidme
uiiíis	uiiiis
uioa	uioa
ul-tenor	ul-tenor
ul-Um»	ul-um
1»ulnifnmCo	ulnifnmco
u<lonal	ulonal
ultimamtnto	ultimamtnto
ultl-	ultl-
ultrages	ultrages
umcntaç&o	umcntaco
(un-ckmarfos	un-ckmarfos
8unco	unco
«ünicn	unicn
unladd^arlldária	unladdarlldaria
unos	unos
unti-ca-tharracR	unti-ca-tharracr
unvt	unvt
uo^u-	uou-
up>ui>	upui
urau	urau
urbano	urbano
urosv	urosv
urrrr	urrrr
utl-ização	utl-izacao
utlliznção	utllizncao
uttl	uttl
•utUfação	utufacao
uu-norr»	uu-norr
uuica	uuica
uuink	uuink
uzar	uzar
uzndos	uzndos
va^ar	vaar
vaie-	vaie-
valcria	valcria
vale-	vale-
vale-tudo	vale-tudo
vale—não	valenao
valería	valeria
vcncibllldadc	vcncibllldadc
vcntrl	vcntrl
vcoda	vcoda
vè-sc	ve-sc
véem	veem
vendidas	vendidas
venha	venha
venho	venho
vera	vera
verdad	verdad
verdadeira	verdadeira
veremos	veremos
veriftea-se	veriftea-se
vezex	vezex
vi^ào	viao
vidindo-se	vidindo-se
viikA	viika
vImh	vimh
vimos	vimos
vinham	vinham
vinte	vinte
viria	viria
visual	visual
vlte	vlte
vndo	vndo
voadas	voadas
volorizor	volorizor
vôluntapjrtll	voluntapjrtll
voot	voot
vrSo	vrso
vttória	vttoria
vulgarisada	vulgarisada
vultoso*	vultoso
vuuw	vuuw
watureze	watureze
wfôra	wfora
wlro	wlro
wnsav*‘s	wnsavs
wrUt‘W	wrutw
wuégué-	wuegue-
«x-cuidtraU	x-cuidtrau
£x-Interno	x-interno
xenuclonal	xenuclonal
xieia	xieia
xlmo	xlmo
xMsessorlas	xmsessorlas
(xoft	xoft
«xpecUtUva	xpecutuva
xvslm	xvslm
yeJmcnte	yejmcnte
yoílufll	yoilufll
zeloso	zeloso
zendo	zendo
